                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  0.511,                0.27417,                0.88639,                0.99783,                      1,                  0.995,                0.81504,                0.79803,                0.30927,                 1.0158,              0.0004358,              0.0004358,              0.0004358
                     81,                0.46617,                 0.2632,                0.86662,                0.99782,                      1,                  0.995,                0.83074,                0.76988,                0.29818,                 0.9708,               0.000416,               0.000416,               0.000416
                     82,                0.49203,                0.27505,                0.87478,                0.99787,                      1,                  0.995,                0.85637,                0.67255,                0.27573,                0.91604,              0.0003962,              0.0003962,              0.0003962
                     83,                0.48534,                0.27918,                0.86851,                0.99782,                      1,                  0.995,                0.86909,                0.67146,                0.26246,                0.93647,              0.0003764,              0.0003764,              0.0003764
                     84,                0.48857,                0.27513,                0.87591,                0.99772,                      1,                  0.995,                0.86118,                 0.7025,                0.26099,                0.96857,              0.0003566,              0.0003566,              0.0003566
                     85,                0.49979,                0.26904,                0.86771,                0.99781,                      1,                  0.995,                0.87326,                0.68449,                0.25754,                 0.9466,              0.0003368,              0.0003368,              0.0003368
                     86,                0.47777,                0.26654,                0.87437,                0.99783,                      1,                  0.995,                0.87042,                0.66446,                0.25811,                0.94281,               0.000317,               0.000317,               0.000317
                     87,                0.46286,                0.25521,                 0.8645,                0.99785,                      1,                  0.995,                0.87507,                0.65514,                0.27197,                0.93092,              0.0002972,              0.0002972,              0.0002972
                     88,                0.47916,                0.25874,                0.85727,                0.99785,                      1,                  0.995,                0.87483,                0.64434,                 0.2664,                0.92088,              0.0002774,              0.0002774,              0.0002774
                     89,                0.47257,                0.25495,                0.85507,                0.99787,                      1,                  0.995,                0.86617,                0.66632,                0.27951,                  0.941,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.4626,                0.25968,                0.86394,                 0.9979,                      1,                  0.995,                0.87721,                0.64372,                0.25937,                0.92806,              0.0002378,              0.0002378,              0.0002378
                     91,                0.42157,                0.21291,                0.82058,                0.99788,                      1,                  0.995,                0.86451,                 0.6868,                0.26895,                 0.9395,               0.000218,               0.000218,               0.000218
                     92,                 0.3925,                 0.2069,                0.80876,                0.99783,                      1,                  0.995,                0.86824,                  0.661,                0.25898,                0.94026,              0.0001982,              0.0001982,              0.0001982
                     93,                0.39229,                0.20718,                0.81815,                0.99783,                      1,                  0.995,                0.87066,                0.64032,                0.25143,                0.92604,              0.0001784,              0.0001784,              0.0001784
                     94,                0.39082,                 0.2113,                0.82127,                0.99787,                      1,                  0.995,                0.86801,                0.64978,                0.26462,                0.92157,              0.0001586,              0.0001586,              0.0001586
                     95,                0.37686,                0.19661,                0.82011,                0.99786,                      1,                  0.995,                0.87632,                0.64564,                0.26178,                0.91928,              0.0001388,              0.0001388,              0.0001388
                     96,                0.38076,                0.19865,                0.82026,                0.99786,                      1,                  0.995,                 0.8558,                0.69358,                0.27034,                0.93899,               0.000119,               0.000119,               0.000119
                     97,                0.36889,                0.19391,                0.81336,                0.99785,                      1,                  0.995,                0.87452,                0.62072,                0.26255,                0.91274,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.36962,                0.19606,                0.80745,                0.99788,                      1,                  0.995,                0.87586,                0.61461,                0.26696,                0.90293,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.36437,                0.18963,                0.80791,                0.99789,                      1,                  0.995,                0.86841,                0.64634,                0.26573,                0.91243,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.38158,                0.19192,                0.81663,                0.99787,                      1,                  0.995,                0.88171,                0.63615,                0.26485,                0.90844,               3.98e-05,               3.98e-05,               3.98e-05
